update,steps,episodes,mean_return,mean_episode_len,success_rate,collision_rate,ground_collision_rate,self_collision_rate,obstacle_collision_rate,target_distance,min_obstacle_distance,policy_loss,value_loss,entropy,approx_kl,clip_fraction
0,2048,5,-2013.686822834608,350.0,0.0,0.0,0.0,0.0,0.0,0.6750051065549113,0.47739347512808683,-0.0058458341518417,6813.198547363281,2.481145878136158,0.0037956535088596866,0.02841796875
1,4096,12,-1420.7771842545578,291.57142857142856,0.0,0.0009765625,0.0,0.0,0.0009765625,0.704284876720577,0.39878620059504954,-0.0028826413268689065,1893.4118816375733,2.471624405682087,0.004202465049456805,0.04140625
2,6144,18,-2023.1617793770658,350.0,0.0,0.0,0.0,0.0,0.0,0.4883950149572921,0.389694070546249,-0.002770922309719026,1275.8504390716553,2.4664231434464456,0.002256958672660403,0.01640625
3,8192,24,-1988.258195430212,350.0,0.0,0.0,0.0,0.0,0.0,0.4087956404817639,0.28673166436183245,-0.0014503390033496545,1357.435416984558,2.4676814660429955,0.0009133631305303424,0.0
4,10240,30,-1752.601298809459,350.0,0.0,0.0,0.0,0.0,0.0,0.5747778243717458,0.2777733785409523,-0.0005488408380188048,1253.5225652694703,2.472793737053871,0.0004927685688016937,0.0
5,12288,36,-1832.77370406489,350.0,0.0,0.0,0.0,0.0,0.0,0.4622176677443072,0.11741273114264308,-0.0031186856678687034,1362.3634021759033,2.469008153676987,0.0014938360516680404,0.004150390625
6,14336,44,-1405.927952436407,257.125,0.0,0.00146484375,0.0,0.0,0.00146484375,0.5782872478154474,0.28901880377973144,-0.002436207979917526,1429.0101539611817,2.456934690475464,0.0015624022780684754,0.006103515625
7,16384,50,-2056.4892388335115,350.0,0.0,0.0,0.0,0.0,0.0,0.5535749062395491,0.23272766535150785,-0.0034382468526018783,1584.6580131530761,2.423058679699898,0.0039786826586350795,0.023583984375
8,18432,56,-1640.2618828040602,333.8333333333333,0.0,0.00048828125,0.0,0.0,0.00048828125,0.5529703143284663,0.4268323481038195,-0.002870861964765936,1080.2386289596557,2.4204124718904496,0.003251473081763834,0.013623046875
9,20480,64,-1288.9540830158985,258.625,0.0,0.001953125,0.0,0.0,0.001953125,0.7235363143705937,0.4030640888692144,-0.006958959682378918,840.1123310089112,2.420998227596283,0.005148089642170816,0.041650390625
10,22528,70,-2119.7055047861472,350.0,0.0,0.0,0.0,0.0,0.0,0.5660989968566102,0.45074727956987104,-0.005666172335622832,1458.2537759780885,2.3991677805781366,0.005040393804665655,0.03447265625
11,24576,75,-2062.6340776036136,350.0,0.0,0.0,0.0,0.0,0.0,0.3516988024329554,0.30091561977712894,-0.0089850353251677,1101.2298364639282,2.349159763753414,0.008739339438034222,0.119677734375
12,26624,82,-1507.364636835606,291.57142857142856,0.0,0.00146484375,0.00048828125,0.0,0.0009765625,0.39652930521422697,0.2960575638388447,-0.008794935297919438,753.5808307647706,2.2968607634305953,0.008087324211373925,0.075341796875
13,28672,90,-1469.014355852109,280.75,0.0,0.001953125,0.00048828125,0.0,0.00146484375,0.5018734539179959,0.3689512366264361,-0.008282019780017436,618.8778537750244,2.2625638425350187,0.008458129022619687,0.104052734375
14,30720,97,-1497.9805872691516,291.42857142857144,0.0,0.00341796875,0.00244140625,0.0,0.0009765625,0.3983348118247082,0.1346049752144377,-0.007875519571825862,242.7518063545227,2.1859115555882456,0.00852624464314431,0.102783203125
15,32768,105,-1409.2501873585184,270.0,0.0,0.00390625,0.0029296875,0.0,0.0009765625,0.48075124862688046,0.36849523434576653,-0.004423463618149981,350.141792678833,2.1376128658652305,0.005918059538817033,0.067919921875
16,34816,115,-1298.1281221286945,194.8,0.0,0.0048828125,0.00341796875,0.0,0.00146484375,0.5501660805722529,0.25624725206637783,-0.009084971947595477,753.2107442855835,2.069130565226078,0.008952990622492506,0.10654296875
17,36864,128,-1017.6254429110023,159.92307692307693,0.0,0.00634765625,0.00390625,0.0,0.00244140625,0.5056666575250658,0.21449398151261684,-0.010742967881378717,692.3554918289185,1.941538893431425,0.010410720822983421,0.12197265625
18,38912,144,-717.8226138901382,125.625,0.0,0.0078125,0.00390625,0.0,0.00390625,0.5814397214511172,0.29740927042072,-0.004890056743170135,862.1684499740601,1.8326099149882793,0.008814718044595793,0.05263671875
19,40960,164,-693.9599641054954,103.25,0.0,0.009765625,0.0048828125,0.0,0.0048828125,0.4457522646935776,0.204047337946853,-0.012987856596009806,925.7896482467652,1.6413582488894463,0.01383015668252483,0.166162109375
20,43008,185,-643.1019447147934,102.04761904761905,0.0,0.01025390625,0.0048828125,0.0,0.00537109375,0.4875967755060246,0.3859599257289606,-0.010405826481292024,633.7979190826416,1.4861325800418854,0.011517280555563048,0.112109375
