steps,episodes,mean_return,mean_episode_len,success_rate,episode_collision_rate,collision_rate,ground_collision_rate,self_collision_rate,obstacle_collision_rate,target_distance,min_obstacle_distance,actor_loss,critic_loss,noise_std,replay_size
2048,7,100.91279456135541,253.57142857142858,0.0,0.7142857142857143,0.00244140625,0.0,0.001953125,0.00048828125,0.4373867041498913,0.22766952144002903,-14.650226593017578,4.434927940368652,0.25,2048
4096,14,132.5567964687227,301.14285714285717,0.0,0.7142857142857143,0.00244140625,0.0,0.001953125,0.00048828125,0.6252990696353022,0.28294473372928447,-32.932376861572266,0.8860780000686646,0.25,4096
6144,28,-39.457980402400274,157.78571428571428,0.0,1.0,0.0068359375,0.0048828125,0.001953125,0.0,0.6298671459000755,0.42667630963276826,-45.76255798339844,24.996978759765625,0.236100954724958,6144
8192,61,-134.56896428586487,63.27272727272727,0.0,0.9393939393939394,0.01513671875,0.0,0.01171875,0.00341796875,0.5734890578267192,0.4200849561262653,-44.050315856933594,10.523487091064453,0.21312032828544872,8192
10240,68,275.60438959483236,281.0,0.0,0.2857142857142857,0.0009765625,0.0,0.0,0.0009765625,0.6904255235171535,0.4619105835567883,-25.287769317626953,15.4668550491333,0.19237649581472036,10240
12288,92,-73.72649549360511,87.54166666666667,0.0,0.875,0.01025390625,0.0,0.01025390625,0.0,0.42811242228071456,0.42821042695681977,-34.48093032836914,2.8487472534179688,0.1736517414349254,12288
14336,134,-156.29929843501057,49.0,0.0,1.0,0.0205078125,0.0,0.0205078125,0.0,0.41699249756251155,0.46934604164212784,-27.838603973388672,3.0268449783325195,0.15674954040344177,14336
16384,157,-89.65402581867258,85.69565217391305,0.043478260869565216,0.9565217391304348,0.0107421875,0.0029296875,0.00732421875,0.00048828125,0.2685062655423898,0.3436230827399866,-28.577415466308594,1.1665358543395996,0.14149249649706513,16384
18432,177,-52.22200757218343,107.15,0.0,1.0,0.009765625,0.009765625,0.0,0.0,0.467784680564846,0.39603026896029564,-43.30992889404297,7.597324371337891,0.1277204801586281,18432
20480,195,-52.54864936151943,110.66666666666667,0.0,1.0,0.0087890625,0.0087890625,0.0,0.0,1.2008862106807292,0.3857103788073422,-52.88767623901367,17.38824462890625,0.11528894786508294,20480
22528,210,-29.715428844170255,140.93333333333334,0.0,1.0,0.00732421875,0.00537109375,0.001953125,0.0,0.3120146102278219,0.40304433722535477,-62.96978759765625,21.18718910217285,0.10406742507802792,22528
24576,221,96.8275210528739,183.8181818181818,0.0,0.7272727272727273,0.00390625,0.00390625,0.0,0.0,0.5725240459624669,0.5706049009308867,-68.41619110107422,41.16127014160156,0.09393813685458258,24576
26624,227,336.6380759771863,312.1666666666667,0.0,0.16666666666666666,0.00048828125,0.00048828125,0.0,0.0,0.8203020415073394,0.36430183816543144,-72.02580261230469,57.690818786621094,0.08479477174623955,26624
28672,233,389.0641419651711,350.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1147720024774133,0.35370570435999693,-79.32926940917969,29.753917694091797,0.07654136601226538,28672
30720,242,237.2665969800885,237.66666666666666,0.0,0.5555555555555556,0.00244140625,0.001953125,0.0,0.00048828125,0.9336337860024656,0.4696583655775412,-90.73699951171875,40.77544403076172,0.06909129643695751,30720
32768,254,3.5910964013473383,154.83333333333334,0.0,0.9166666666666666,0.00537109375,0.00439453125,0.0,0.0009765625,1.2715946294784666,0.4712728924775181,-94.2720947265625,75.74327850341797,0.06236637117992602,32768
34816,260,501.56379308293685,350.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0461009219880835,0.3650388151052078,-97.1137466430664,25.98549461364746,0.05629600911746307,34816
36864,267,424.1653423743059,317.57142857142856,0.0,0.2857142857142857,0.0009765625,0.00048828125,0.0,0.00048828125,0.6362168840088956,0.5446475624709148,-101.13180541992188,27.481760025024414,0.050816499061814666,36864
38912,277,52.72080367641233,206.9,0.0,0.8,0.00390625,0.001953125,0.00048828125,0.00146484375,0.5811323230129033,0.292320832372154,-102.43984985351562,24.73346519470215,0.04587033108352914,38912
40960,291,-48.90990019077371,137.64285714285714,0.0,1.0,0.0068359375,0.0029296875,0.00390625,0.0,0.8722356918564091,0.3819472561489278,-99.3984375,12.383426666259766,0.041405592918809735,40960
43008,317,-122.59343232449956,75.76923076923077,0.0,1.0,0.0126953125,0.0,0.01220703125,0.00048828125,1.6440776177471315,0.48979442854497873,-103.48727416992188,75.35297393798828,0.03737542512689203,43008
45056,324,446.30437033573924,312.42857142857144,0.0,0.42857142857142855,0.00146484375,0.0009765625,0.0,0.00048828125,0.9964568243731601,0.36494822024544654,-102.73258209228516,55.13322448730469,0.03373752927907772,45056
47104,332,309.03151179270986,255.375,0.0,0.375,0.00146484375,0.00048828125,0.0009765625,0.0,0.9388090841483536,0.5490530861019619,-106.23262023925781,25.75922393798828,0.03045372401764746,47104
49152,338,504.90969287195503,328.5,0.0,0.16666666666666666,0.00048828125,0.00048828125,0.0,0.0,1.3568309558103993,0.4535966966273206,-102.23538208007812,55.18524169921875,0.03,49152
51200,344,309.55520122747,319.5,0.0,1.0,0.0029296875,0.0,0.0029296875,0.0,0.8979887716237823,0.37397911711022525,-105.32916259765625,132.64193725585938,0.03,51200
53248,354,154.45322309302148,224.6,0.0,0.8,0.00390625,0.00341796875,0.00048828125,0.0,1.1301272782286422,0.47482236878299594,-107.77548217773438,47.08355712890625,0.03,53248
55296,365,45.8278297182594,178.9090909090909,0.0,1.0,0.00537109375,0.0048828125,0.00048828125,0.0,1.2613551655579862,0.4396566147149598,-104.47489929199219,11.430273056030273,0.03,55296
57344,373,190.9804109250477,244.75,0.0,0.875,0.00341796875,0.00341796875,0.0,0.0,0.7905445775942053,0.49879548567256643,-104.69889831542969,47.67230224609375,0.03,57344
59392,379,521.5361116098596,350.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2417216905180963,0.2652484420420754,-104.41407775878906,12.7176513671875,0.03,59392
61440,386,313.9132251847364,292.0,0.0,0.5714285714285714,0.001953125,0.0,0.001953125,0.0,0.9924206044160713,0.40277568989928286,-106.46571350097656,132.87644958496094,0.03,61440
63488,392,447.9664418676745,338.6666666666667,0.0,0.16666666666666666,0.00048828125,0.0,0.00048828125,0.0,1.1269182847842045,0.524048656478242,-104.73612976074219,45.04011154174805,0.03,63488
65536,398,599.1862314957156,350.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3154836890342068,0.4244155458700961,-105.34029388427734,59.216583251953125,0.03,65536
67584,404,554.7766803986794,350.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4059956555064972,0.47234289965674364,-105.05014038085938,7.129530906677246,0.03,67584
69632,410,544.9945863987546,350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9646458470054273,0.36821867539052744,-104.67259216308594,170.7515869140625,0.03,69632
71680,416,638.638835038686,350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5160940174660658,0.4539946862229955,-107.42172241210938,10.190162658691406,0.03,71680
73728,421,585.1410410555825,350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8542451492713884,0.3400622711886092,-104.35401916503906,21.851295471191406,0.03,73728
75776,427,559.626246522625,350.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0516672090518755,0.5338450886012992,-104.34538269042969,70.51708984375,0.03,75776
77824,434,384.92134192647484,294.7142857142857,0.0,0.2857142857142857,0.0009765625,0.0009765625,0.0,0.0,1.5737511849303691,0.4586671337742418,-102.09599304199219,88.70104217529297,0.03,77824
79872,441,432.7008134143115,293.2857142857143,0.0,0.2857142857142857,0.0009765625,0.0009765625,0.0,0.0,1.430623861048269,0.35108599276947194,-105.04663848876953,11.877281188964844,0.03,79872
81920,449,368.8803640334409,282.625,0.0,0.375,0.00146484375,0.0009765625,0.00048828125,0.0,0.4807706396739326,0.3920336342948038,-103.76416778564453,76.36236572265625,0.03,81920
83968,455,412.9852651657775,303.1666666666667,0.0,0.16666666666666666,0.00048828125,0.0,0.0,0.00048828125,1.4191727021314413,0.48984409510418364,-103.04438781738281,49.00439453125,0.03,83968
86016,464,201.4767726785606,238.77777777777777,0.0,0.4444444444444444,0.001953125,0.00048828125,0.0,0.00146484375,1.3648973044183583,0.5217315206887724,-106.73860168457031,105.47350311279297,0.03,86016
88064,472,235.3507115529235,252.875,0.0,0.375,0.00146484375,0.0,0.0,0.00146484375,1.2619832968640676,0.4844209839900669,-106.60028839111328,8.170032501220703,0.03,88064
90112,478,359.17796245435557,331.5,0.0,0.16666666666666666,0.00048828125,0.0,0.00048828125,0.0,0.9903554573897334,0.4640428155091653,-107.68418884277344,33.692325592041016,0.03,90112
92160,484,395.36424316053996,332.0,0.0,0.16666666666666666,0.00048828125,0.0,0.00048828125,0.0,1.2476347037788502,0.38895337885961084,-106.77999114990234,41.21570587158203,0.03,92160
94208,490,454.1909500918717,350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9594153387673389,0.4831069229550559,-106.6739501953125,61.63569641113281,0.03,94208
96256,496,502.04521962867307,350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.630590862465984,0.4361168773569833,-104.19705200195312,22.755443572998047,0.03,96256
98304,507,100.80701150969209,199.45454545454547,0.0,0.6363636363636364,0.00341796875,0.0009765625,0.00048828125,0.001953125,0.8585885997490609,0.4253868519293248,-104.64796447753906,57.05323028564453,0.03,98304
100352,515,165.47752553168812,221.125,0.0,0.625,0.00244140625,0.00048828125,0.001953125,0.0,1.445888448333987,0.5404375685255823,-105.01374053955078,37.23982620239258,0.03,100000
102400,528,108.27940895592525,179.53846153846155,0.0,0.6153846153846154,0.00390625,0.0,0.0029296875,0.0009765625,0.8208785478993716,0.29458011265181183,-105.50389099121094,55.879615783691406,0.03,100000
104448,533,478.05117108414197,350.0,0.0,0.0,0.0,0.0,0.0,0.0,1.115692872571688,0.40108083685748447,-104.4896469116211,3.3906257152557373,0.03,100000
106496,541,310.20550495148734,266.875,0.0,0.25,0.0009765625,0.0,0.0,0.0009765625,0.7284642043182604,0.4370176394354118,-103.81985473632812,5.614869594573975,0.03,100000
108544,549,305.490309062509,263.875,0.0,0.5,0.001953125,0.0,0.00146484375,0.00048828125,1.469949993826653,0.48037081093408346,-105.13703918457031,4.672630786895752,0.03,100000
110592,555,581.4580151780373,350.0,0.0,0.0,0.0,0.0,0.0,0.0,1.134022752946778,0.4094157332089122,-104.03431701660156,29.874515533447266,0.03,100000
112640,561,540.5040285447508,346.8333333333333,0.0,0.16666666666666666,0.00048828125,0.00048828125,0.0,0.0,1.147130162818105,0.5221761472346881,-104.09793853759766,140.1600799560547,0.03,100000
114688,569,288.0727920647634,245.625,0.0,0.375,0.00146484375,0.0,0.0009765625,0.00048828125,1.477026988459946,0.365587535954947,-104.46449279785156,5.077736854553223,0.03,100000
116736,575,512.0983749630387,350.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3496336604848505,0.3806702125019095,-103.6065444946289,33.00225067138672,0.03,100000
118784,581,519.4565453497038,350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6081620382837807,0.20862789778371085,-103.35271453857422,49.544029235839844,0.03,100000
120832,587,464.5883456520143,350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7335019005264328,0.39140270307968417,-104.12322998046875,2.4927968978881836,0.03,100000
122880,592,480.0834395097374,350.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5246227174257323,0.41235258052784185,-104.25006866455078,62.29179763793945,0.03,100000
124928,599,389.5415934440609,327.57142857142856,0.0,0.2857142857142857,0.0009765625,0.0,0.0009765625,0.0,0.8055291535193392,0.5149592471715528,-103.48541259765625,100.40989685058594,0.03,100000
126976,605,578.1145269772535,350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4674360016933642,0.277771540861576,-104.82683563232422,8.82815170288086,0.03,100000
129024,611,420.0239174671883,299.8333333333333,0.0,0.16666666666666666,0.00048828125,0.0,0.0,0.00048828125,1.4257502799090394,0.37309394837080906,-103.75912475585938,57.355621337890625,0.03,100000
131072,620,291.37487884241546,242.44444444444446,0.0,0.3333333333333333,0.00146484375,0.0,0.0,0.00146484375,0.9187989269033998,0.49997263580867873,-102.53839111328125,100.9539794921875,0.03,100000
133120,627,337.75597977890953,286.2857142857143,0.0,0.2857142857142857,0.0009765625,0.0,0.0,0.0009765625,0.8131815692655584,0.3528533156067497,-103.70263671875,1.9202141761779785,0.03,100000
135168,635,292.16294668092985,272.0,0.0,0.375,0.00146484375,0.0,0.0,0.00146484375,0.7898291606912373,0.4195530571921162,-103.3505630493164,1.2396059036254883,0.03,100000
137216,642,260.90392819476085,291.2857142857143,0.0,0.2857142857142857,0.0009765625,0.0,0.0,0.0009765625,0.6129547240080795,0.25098829534305395,-103.87872314453125,50.69202423095703,0.03,100000
139264,648,392.8222298165535,350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.567579777026038,0.41318500155104654,-103.02363586425781,93.76634216308594,0.03,100000
141312,654,306.8718084200056,317.0,0.0,0.16666666666666666,0.00048828125,0.0,0.0,0.00048828125,0.7187850992040046,0.18894515931256936,-101.8034896850586,17.695955276489258,0.03,100000
143360,662,260.737734681581,265.0,0.0,0.25,0.0009765625,0.0,0.0,0.0009765625,0.5013805510082837,0.15599621046610557,-102.03450012207031,3.759972333908081,0.03,100000
145408,668,306.0188868441137,316.8333333333333,0.0,0.16666666666666666,0.00048828125,0.0,0.0,0.00048828125,1.2834804674549676,0.5270186833721262,-102.05953979492188,95.79573822021484,0.03,100000
147456,676,218.493241675771,284.25,0.0,0.5,0.001953125,0.00146484375,0.0,0.00048828125,0.5179376363339975,0.2741252015037512,-102.185302734375,53.47970962524414,0.03,100000
149504,682,144.62519321530655,307.6666666666667,0.0,1.0,0.0029296875,0.00244140625,0.00048828125,0.0,0.9589390271306822,0.2895983139977305,-102.35710144042969,55.239646911621094,0.03,100000
151552,689,141.37592874654317,293.7142857142857,0.0,1.0,0.00341796875,0.0029296875,0.0,0.00048828125,0.6384591909663306,0.4113375578573412,-101.2205810546875,41.37339401245117,0.03,100000
153600,697,113.44868597393409,262.375,0.0,1.0,0.00390625,0.00341796875,0.0,0.00048828125,0.37673307863374655,0.23319217118878324,-101.75381469726562,107.84062194824219,0.03,100000
155648,704,202.33022655018945,311.7142857142857,0.0,0.42857142857142855,0.00146484375,0.00048828125,0.00048828125,0.00048828125,0.5027596476302465,0.3520695114358377,-101.86764526367188,1.4500327110290527,0.03,100000
157696,713,94.08651304758325,200.0,0.0,0.5555555555555556,0.00244140625,0.00048828125,0.0009765625,0.0009765625,1.5432913553693668,0.5227692638720526,-101.3705062866211,45.64659118652344,0.03,100000
159744,720,276.51840146080724,305.57142857142856,0.0,0.5714285714285714,0.001953125,0.001953125,0.0,0.0,1.082224512951866,0.46344436519752147,-101.36268615722656,48.60353469848633,0.03,100000
161792,727,328.95625950133535,285.42857142857144,0.0,0.42857142857142855,0.00146484375,0.0009765625,0.00048828125,0.0,1.4070921777281922,0.492965082224233,-102.17530059814453,97.56593322753906,0.03,100000
163840,735,247.4234148413478,279.25,0.0,0.375,0.00146484375,0.00048828125,0.0009765625,0.0,0.4938235680799799,0.38199133758496284,-102.43627166748047,55.25371551513672,0.03,100000
165888,757,-95.38544671151361,92.5,0.0,0.9545454545454546,0.01025390625,0.00048828125,0.009765625,0.0,0.7765791108584031,0.5380622771688873,-103.26155853271484,51.413818359375,0.03,100000
167936,768,47.74854428324102,181.45454545454547,0.0,0.7272727272727273,0.00390625,0.0,0.00390625,0.0,0.5264743566738382,0.23494969258413154,-102.37137603759766,159.15342712402344,0.03,100000
169984,780,-33.98101840617255,178.25,0.0,1.0,0.005859375,0.0,0.0048828125,0.0009765625,0.5819254841710343,0.618009568100804,-102.95063781738281,30.460145950317383,0.03,100000
172032,788,122.51735128114079,243.0,0.0,0.625,0.00244140625,0.00048828125,0.0009765625,0.0009765625,0.703818263866694,0.42584135170542475,-102.48448181152344,53.749290466308594,0.03,100000
174080,797,-1.6442861425555482,205.11111111111111,0.0,1.0,0.00439453125,0.00244140625,0.0,0.001953125,0.6606866579550184,0.3422690621181965,-103.1580581665039,2.1568098068237305,0.03,100000
176128,810,44.45000751687995,176.0,0.0,0.7692307692307693,0.0048828125,0.00146484375,0.00341796875,0.0,0.5510593244452557,0.3723599135127301,-103.20948791503906,3.447286367416382,0.03,100000
178176,820,189.81643712014443,210.1,0.0,0.5,0.00244140625,0.0,0.00244140625,0.0,0.5462500928479108,0.30417009654897625,-103.29023742675781,54.231834411621094,0.03,100000
180224,829,140.50077062518744,195.55555555555554,0.0,0.5555555555555556,0.00244140625,0.0,0.00146484375,0.0009765625,1.5103642728418476,0.5500216622702884,-102.8656234741211,43.48390197753906,0.03,100000
182272,838,227.76565138617272,225.55555555555554,0.0,0.4444444444444444,0.001953125,0.0,0.001953125,0.0,1.43971993596428,0.4774544532059319,-102.9237060546875,55.99674987792969,0.03,100000
184320,845,426.9447160033769,309.14285714285717,0.0,0.14285714285714285,0.00048828125,0.0,0.00048828125,0.0,1.5426072235909967,0.3288994570106875,-102.50565338134766,51.76734161376953,0.03,100000
186368,851,549.8071484475464,350.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4122390262638391,0.44293468137025316,-102.87533569335938,40.91299057006836,0.03,100000
188416,857,550.8263332257998,350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8064757931137558,0.3732241199960898,-103.0003890991211,48.62343978881836,0.03,100000
190464,863,521.8288922792746,350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6118931120443393,0.5328116962531252,-102.85292053222656,104.6226577758789,0.03,100000
192512,869,509.1879987214649,335.0,0.0,0.16666666666666666,0.00048828125,0.00048828125,0.0,0.0,0.7818957237836799,0.4469923240598918,-103.15187072753906,1.8512920141220093,0.03,100000
194560,876,414.43074929713066,302.14285714285717,0.0,0.2857142857142857,0.0009765625,0.0009765625,0.0,0.0,0.6564748443165525,0.4284619837591137,-101.31189727783203,5.138836860656738,0.03,100000
196608,883,384.776793998582,290.42857142857144,0.0,0.42857142857142855,0.00146484375,0.00146484375,0.0,0.0,0.543480269916794,0.38121094527549304,-102.88929748535156,37.25625228881836,0.03,100000
198656,889,363.2278016594865,290.6666666666667,0.0,0.3333333333333333,0.0009765625,0.0009765625,0.0,0.0,1.484516060690681,0.49829028143466486,-102.89814758300781,55.0693359375,0.03,100000
200704,898,162.54342130384475,244.22222222222223,0.0,0.8888888888888888,0.00390625,0.00390625,0.0,0.0,0.6862485124244697,0.39621923156168065,-102.12918090820312,5.957062244415283,0.03,100000
202752,904,274.1992309639087,349.8333333333333,0.0,0.16666666666666666,0.00048828125,0.00048828125,0.0,0.0,1.36632588447862,0.5073624476210858,-102.65261840820312,1.993903636932373,0.03,100000
204800,910,268.09458483143766,326.8333333333333,0.0,0.3333333333333333,0.0009765625,0.0,0.0,0.0009765625,0.14694313952148408,0.22339732689122174,-101.9944839477539,55.87574768066406,0.03,100000
206848,917,166.99846132881223,301.0,0.0,0.7142857142857143,0.00244140625,0.00146484375,0.00048828125,0.00048828125,0.5629411131043902,0.1759326804443854,-101.63807678222656,54.82749557495117,0.03,100000
208896,925,142.50644969386266,261.25,0.0,0.75,0.0029296875,0.00048828125,0.00146484375,0.0009765625,0.8913334107957275,0.40379042762546935,-100.58343505859375,72.93852233886719,0.03,100000
210944,932,222.0070972877088,309.85714285714283,0.0,0.5714285714285714,0.001953125,0.0,0.001953125,0.0,0.5403737579926949,0.4143242538495527,-101.90029907226562,2.5208821296691895,0.03,100000
212992,939,241.72836329256475,292.14285714285717,0.0,0.5714285714285714,0.001953125,0.0009765625,0.0009765625,0.0,0.6467362298011033,0.41946610086445885,-101.77536010742188,56.295536041259766,0.03,100000
215040,945,114.3164742682955,315.8333333333333,0.0,1.0,0.0029296875,0.0029296875,0.0,0.0,0.751480301677358,0.41122795233596904,-99.73727416992188,97.8995590209961,0.03,100000
